ATM_Name,TransactionDate,NoOfWithdrawals,TotalAmtWithdrawn,Weekday,WorkingDay,BranchID
Kingsley Street ATM,2013-01-08,114,547900,TUESDAY,W,
Georgia Street ATM,2013-01-09,73,215300,WEDNESDAY,W,
Main Street ATM,2013-01-09,217,668000,WEDNESDAY,W,
Genesee Street ATM,2013-01-09,113,543800,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-01-09,242,1129900,WEDNESDAY,W,
Kingsley Street ATM,2013-01-09,152,706900,WEDNESDAY,W,
Georgia Street ATM,2013-01-10,100,336000,THURSDAY,W,
Main Street ATM,2013-01-10,168,741100,THURSDAY,W,
Genesee Street ATM,2013-01-10,132,709300,THURSDAY,W,
Hollywood Aveneue ATM,2013-01-10,286,1544700,THURSDAY,W,
Kingsley Street ATM,2013-01-10,118,568900,THURSDAY,W,
Georgia Street ATM,2013-01-11,106,341600,FRIDAY,W,
Main Street ATM,2013-01-11,218,589800,FRIDAY,W,
Genesee Street ATM,2013-01-11,132,734400,FRIDAY,W,
Hollywood Aveneue ATM,2013-01-11,311,1578700,FRIDAY,W,
Kingsley Street ATM,2013-01-11,179,910800,FRIDAY,W,
Georgia Street ATM,2013-01-12,111,329300,SATURDAY,H,
Main Street ATM,2013-01-12,215,564000,SATURDAY,H,
Genesee Street ATM,2013-01-12,140,696600,SATURDAY,H,
Hollywood Aveneue ATM,2013-01-12,284,1088400,SATURDAY,H,
Kingsley Street ATM,2013-01-12,84,333000,SATURDAY,H,
Georgia Street ATM,2013-01-13,103,289800,SUNDAY,H,
Main Street ATM,2013-01-13,138,344500,SUNDAY,H,
Genesee Street ATM,2013-01-13,94,394600,SUNDAY,H,
Hollywood Aveneue ATM,2013-01-13,234,842200,SUNDAY,H,
Kingsley Street ATM,2013-01-13,104,318800,SUNDAY,H,
Georgia Street ATM,2013-01-14,96,268900,MONDAY,H,
Main Street ATM,2013-01-14,4,2600,MONDAY,H,
Genesee Street ATM,2013-01-14,41,174000,MONDAY,H,
Hollywood Aveneue ATM,2013-01-14,153,399100,MONDAY,H,
Kingsley Street ATM,2013-01-14,60,166000,MONDAY,H,
Georgia Street ATM,2013-01-15,83,261100,TUESDAY,H,
Main Street ATM,2013-01-15,33,100500,TUESDAY,H,
Genesee Street ATM,2013-01-15,57,197000,TUESDAY,H,
Hollywood Aveneue ATM,2013-01-15,160,442900,TUESDAY,H,
Kingsley Street ATM,2013-01-15,62,282700,TUESDAY,H,
Georgia Street ATM,2013-01-16,120,378500,WEDNESDAY,H,
Main Street ATM,2013-01-16,90,237000,WEDNESDAY,H,
Genesee Street ATM,2013-01-16,90,298200,WEDNESDAY,H,
Hollywood Aveneue ATM,2013-01-16,201,603300,WEDNESDAY,H,
Kingsley Street ATM,2013-01-16,65,152900,WEDNESDAY,H,
Georgia Street ATM,2013-01-17,90,324400,THURSDAY,W,
Main Street ATM,2013-01-17,151,556900,THURSDAY,W,
Genesee Street ATM,2013-01-17,86,486700,THURSDAY,W,
Hollywood Aveneue ATM,2013-01-17,351,1517300,THURSDAY,W,
Kingsley Street ATM,2013-01-17,55,269100,THURSDAY,W,
Georgia Street ATM,2013-01-18,107,254400,FRIDAY,W,
Main Street ATM,2013-01-18,165,710300,FRIDAY,W,
Genesee Street ATM,2013-01-18,90,348600,FRIDAY,W,
Hollywood Aveneue ATM,2013-01-18,251,1157200,FRIDAY,W,
Kingsley Street ATM,2013-01-18,102,411200,FRIDAY,W,
Georgia Street ATM,2013-01-19,84,248100,SATURDAY,H,
Main Street ATM,2013-01-19,139,408100,SATURDAY,H,
Genesee Street ATM,2013-01-19,116,520000,SATURDAY,H,
Hollywood Aveneue ATM,2013-01-19,240,858000,SATURDAY,H,
Kingsley Street ATM,2013-01-19,110,475300,SATURDAY,H,
Georgia Street ATM,2013-01-20,106,222900,SUNDAY,H,
Main Street ATM,2013-01-20,130,314600,SUNDAY,H,
Genesee Street ATM,2013-01-20,89,395800,SUNDAY,H,
Hollywood Aveneue ATM,2013-01-20,123,354800,SUNDAY,H,
Kingsley Street ATM,2013-01-20,124,578800,SUNDAY,H,
Georgia Street ATM,2013-01-21,86,393900,MONDAY,W,
Main Street ATM,2013-01-21,155,514100,MONDAY,W,
Genesee Street ATM,2013-01-21,124,583500,MONDAY,W,
Hollywood Aveneue ATM,2013-01-21,225,1095900,MONDAY,W,
Kingsley Street ATM,2013-01-21,147,554000,MONDAY,W,
Georgia Street ATM,2013-01-22,89,310100,TUESDAY,W,
Main Street ATM,2013-01-22,124,399500,TUESDAY,W,
Genesee Street ATM,2013-01-22,106,512000,TUESDAY,W,
Hollywood Aveneue ATM,2013-01-22,239,1105500,TUESDAY,W,
Kingsley Street ATM,2013-01-22,89,369600,TUESDAY,W,
Georgia Street ATM,2013-01-23,102,329200,WEDNESDAY,W,
Main Street ATM,2013-01-23,196,737300,WEDNESDAY,W,
Genesee Street ATM,2013-01-23,68,332800,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-01-23,246,1141300,WEDNESDAY,W,
Kingsley Street ATM,2013-01-23,97,336300,WEDNESDAY,W,
Georgia Street ATM,2013-01-24,96,350400,THURSDAY,W,
Main Street ATM,2013-01-24,199,628200,THURSDAY,W,
Genesee Street ATM,2013-01-24,123,648700,THURSDAY,W,
Hollywood Aveneue ATM,2013-01-24,306,933800,THURSDAY,W,
Kingsley Street ATM,2013-01-24,102,510300,THURSDAY,W,
Georgia Street ATM,2013-01-25,74,228200,FRIDAY,H,
Main Street ATM,2013-01-25,89,152600,FRIDAY,H,
Genesee Street ATM,2013-01-25,73,365300,FRIDAY,H,
Hollywood Aveneue ATM,2013-01-25,152,642700,FRIDAY,H,
Kingsley Street ATM,2013-01-25,83,263700,FRIDAY,H,
Georgia Street ATM,2013-01-26,58,128800,SATURDAY,H,
Main Street ATM,2013-01-26,3,21000,SATURDAY,H,
Genesee Street ATM,2013-01-26,82,396000,SATURDAY,H,
Hollywood Aveneue ATM,2013-01-26,155,843800,SATURDAY,H,
Kingsley Street ATM,2013-01-26,68,238900,SATURDAY,H,
Georgia Street ATM,2013-01-27,98,197100,SUNDAY,H,
Genesee Street ATM,2013-01-27,75,246900,SUNDAY,H,
Hollywood Aveneue ATM,2013-01-27,116,382200,SUNDAY,H,
Kingsley Street ATM,2013-01-27,85,420200,SUNDAY,H,
Georgia Street ATM,2013-01-28,129,494200,MONDAY,W,
Main Street ATM,2013-01-28,148,523300,MONDAY,W,
Genesee Street ATM,2013-01-28,132,672700,MONDAY,W,
Hollywood Aveneue ATM,2013-01-28,272,1231100,MONDAY,W,
Kingsley Street ATM,2013-01-28,113,568500,MONDAY,W,
Georgia Street ATM,2013-01-29,116,378100,TUESDAY,W,
Main Street ATM,2013-01-29,148,525300,TUESDAY,W,
Genesee Street ATM,2013-01-29,102,504800,TUESDAY,W,
Hollywood Aveneue ATM,2013-01-29,220,1145800,TUESDAY,W,
Kingsley Street ATM,2013-01-29,108,441500,TUESDAY,W,
Georgia Street ATM,2013-01-30,85,211500,WEDNESDAY,W,
Main Street ATM,2013-01-30,139,520100,WEDNESDAY,W,
Genesee Street ATM,2013-01-30,71,371500,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-01-30,266,1251400,WEDNESDAY,W,
Kingsley Street ATM,2013-01-30,98,438900,WEDNESDAY,W,
Georgia Street ATM,2013-01-31,99,297000,THURSDAY,W,
Main Street ATM,2013-01-31,173,625200,THURSDAY,W,
Genesee Street ATM,2013-01-31,106,573900,THURSDAY,W,
Hollywood Aveneue ATM,2013-01-31,270,1257800,THURSDAY,W,
Kingsley Street ATM,2013-01-31,130,691300,THURSDAY,W,
Georgia Street ATM,2013-02-01,120,469500,FRIDAY,W,
Main Street ATM,2013-02-01,221,792900,FRIDAY,W,
Genesee Street ATM,2013-02-01,127,606700,FRIDAY,W,
Hollywood Aveneue ATM,2013-02-01,282,1399300,FRIDAY,W,
Kingsley Street ATM,2013-02-01,98,628000,FRIDAY,W,
Georgia Street ATM,2013-02-02,122,289000,SATURDAY,H,
Main Street ATM,2013-02-02,221,921900,SATURDAY,H,
Genesee Street ATM,2013-02-02,134,688700,SATURDAY,H,
Hollywood Aveneue ATM,2013-02-02,316,1765600,SATURDAY,H,
Kingsley Street ATM,2013-02-02,126,767000,SATURDAY,H,
Georgia Street ATM,2013-02-03,94,338700,SUNDAY,H,
Main Street ATM,2013-02-03,193,516400,SUNDAY,H,
Genesee Street ATM,2013-02-03,122,519400,SUNDAY,H,
Hollywood Aveneue ATM,2013-02-03,170,640600,SUNDAY,H,
Kingsley Street ATM,2013-02-03,114,583500,SUNDAY,H,
Georgia Street ATM,2013-02-04,81,231400,MONDAY,W,
Main Street ATM,2013-02-04,205,887800,MONDAY,W,
Genesee Street ATM,2013-02-04,135,763600,MONDAY,W,
Hollywood Aveneue ATM,2013-02-04,338,1709900,MONDAY,W,
Kingsley Street ATM,2013-02-04,180,909100,MONDAY,W,
Georgia Street ATM,2013-02-05,110,367000,TUESDAY,W,
Main Street ATM,2013-02-05,215,802000,TUESDAY,W,
Genesee Street ATM,2013-02-05,124,558000,TUESDAY,W,
Hollywood Aveneue ATM,2013-02-05,246,1156400,TUESDAY,W,
Kingsley Street ATM,2013-02-05,175,800700,TUESDAY,W,
Georgia Street ATM,2013-02-06,90,235900,WEDNESDAY,W,
Main Street ATM,2013-02-06,174,690400,WEDNESDAY,W,
Genesee Street ATM,2013-02-06,153,860200,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-02-06,284,1389400,WEDNESDAY,W,
Kingsley Street ATM,2013-02-06,172,804300,WEDNESDAY,W,
Georgia Street ATM,2013-02-07,118,597700,THURSDAY,W,
Main Street ATM,2013-02-07,222,814900,THURSDAY,W,
Genesee Street ATM,2013-02-07,173,915100,THURSDAY,W,
Hollywood Aveneue ATM,2013-02-07,282,1253800,THURSDAY,W,
Kingsley Street ATM,2013-02-07,89,395900,THURSDAY,W,
Georgia Street ATM,2013-02-08,54,234200,FRIDAY,W,
Main Street ATM,2013-02-08,186,610800,FRIDAY,W,
Genesee Street ATM,2013-02-08,125,557200,FRIDAY,W,
Hollywood Aveneue ATM,2013-02-08,278,1235700,FRIDAY,W,
Kingsley Street ATM,2013-02-08,134,675100,FRIDAY,W,
Georgia Street ATM,2013-02-09,54,139000,SATURDAY,H,
Main Street ATM,2013-02-09,296,942400,SATURDAY,H,
Genesee Street ATM,2013-02-09,146,820700,SATURDAY,H,
Hollywood Aveneue ATM,2013-02-09,311,1504600,SATURDAY,H,
Kingsley Street ATM,2013-02-09,116,574500,SATURDAY,H,
Georgia Street ATM,2013-02-10,122,407900,SUNDAY,H,
Main Street ATM,2013-02-10,164,445500,SUNDAY,H,
Genesee Street ATM,2013-02-10,76,246700,SUNDAY,H,
Hollywood Aveneue ATM,2013-02-10,150,587300,SUNDAY,H,
Kingsley Street ATM,2013-02-10,102,333300,SUNDAY,H,
Georgia Street ATM,2013-02-11,84,292200,MONDAY,W,
Main Street ATM,2013-02-11,188,624300,MONDAY,W,
Genesee Street ATM,2013-02-11,148,702800,MONDAY,W,
Hollywood Aveneue ATM,2013-02-11,254,1109900,MONDAY,W,
Kingsley Street ATM,2013-02-11,115,618200,MONDAY,W,
Georgia Street ATM,2013-02-12,127,459000,TUESDAY,W,
Main Street ATM,2013-02-12,201,665300,TUESDAY,W,
Genesee Street ATM,2013-02-12,111,526200,TUESDAY,W,
Hollywood Aveneue ATM,2013-02-12,231,1093500,TUESDAY,W,
Kingsley Street ATM,2013-02-12,131,552000,TUESDAY,W,
Georgia Street ATM,2013-02-13,90,282300,WEDNESDAY,W,
Main Street ATM,2013-02-13,176,575300,WEDNESDAY,W,
Genesee Street ATM,2013-02-13,117,638600,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-02-13,239,1107200,WEDNESDAY,W,
Kingsley Street ATM,2013-02-13,110,656900,WEDNESDAY,W,
Georgia Street ATM,2013-02-14,91,282700,THURSDAY,W,
Main Street ATM,2013-02-14,119,522200,THURSDAY,W,
Genesee Street ATM,2013-02-14,124,644600,THURSDAY,W,
Hollywood Aveneue ATM,2013-02-14,215,889000,THURSDAY,W,
Kingsley Street ATM,2013-02-14,98,443400,THURSDAY,W,
Georgia Street ATM,2013-02-15,72,297300,FRIDAY,W,
Main Street ATM,2013-02-15,113,363000,FRIDAY,W,
Genesee Street ATM,2013-02-15,117,651000,FRIDAY,W,
Hollywood Aveneue ATM,2013-02-15,196,952300,FRIDAY,W,
Kingsley Street ATM,2013-02-15,143,425000,FRIDAY,W,
Georgia Street ATM,2013-02-16,81,234100,SATURDAY,H,
Main Street ATM,2013-02-16,150,494800,SATURDAY,H,
Genesee Street ATM,2013-02-16,125,551100,SATURDAY,H,
Hollywood Aveneue ATM,2013-02-16,260,1123200,SATURDAY,H,
Kingsley Street ATM,2013-02-16,96,410900,SATURDAY,H,
Georgia Street ATM,2013-02-17,115,381000,SUNDAY,H,
Main Street ATM,2013-02-17,132,440200,SUNDAY,H,
Genesee Street ATM,2013-02-17,103,484200,SUNDAY,H,
Hollywood Aveneue ATM,2013-02-17,111,389000,SUNDAY,H,
Kingsley Street ATM,2013-02-17,75,277400,SUNDAY,H,
Georgia Street ATM,2013-02-18,72,293600,MONDAY,W,
Main Street ATM,2013-02-18,170,609200,MONDAY,W,
Genesee Street ATM,2013-02-18,99,484500,MONDAY,W,
Hollywood Aveneue ATM,2013-02-18,247,1144700,MONDAY,W,
Kingsley Street ATM,2013-02-18,135,569500,MONDAY,W,
Georgia Street ATM,2013-02-19,76,241100,TUESDAY,W,
Main Street ATM,2013-02-19,229,731400,TUESDAY,W,
Genesee Street ATM,2013-02-19,106,551000,TUESDAY,W,
Hollywood Aveneue ATM,2013-02-19,214,898100,TUESDAY,W,
Kingsley Street ATM,2013-02-19,134,634100,TUESDAY,W,
Georgia Street ATM,2013-02-20,104,380200,WEDNESDAY,W,
Main Street ATM,2013-02-20,201,653100,WEDNESDAY,W,
Genesee Street ATM,2013-02-20,96,458200,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-02-20,241,1004700,WEDNESDAY,W,
Kingsley Street ATM,2013-02-20,63,237900,WEDNESDAY,W,
Georgia Street ATM,2013-02-21,71,192900,THURSDAY,W,
Main Street ATM,2013-02-21,155,557800,THURSDAY,W,
Genesee Street ATM,2013-02-21,91,521800,THURSDAY,W,
Hollywood Aveneue ATM,2013-02-21,218,760100,THURSDAY,W,
Kingsley Street ATM,2013-02-21,92,436000,THURSDAY,W,
Georgia Street ATM,2013-02-22,81,194300,FRIDAY,W,
Main Street ATM,2013-02-22,156,492000,FRIDAY,W,
Genesee Street ATM,2013-02-22,88,402100,FRIDAY,W,
Hollywood Aveneue ATM,2013-02-22,204,833600,FRIDAY,W,
Kingsley Street ATM,2013-02-22,89,395500,FRIDAY,W,
Georgia Street ATM,2013-02-23,96,175300,SATURDAY,H,
Main Street ATM,2013-02-23,215,712500,SATURDAY,H,
Genesee Street ATM,2013-02-23,99,599100,SATURDAY,H,
Hollywood Aveneue ATM,2013-02-23,184,920200,SATURDAY,H,
Kingsley Street ATM,2013-02-23,103,504800,SATURDAY,H,
Georgia Street ATM,2013-02-24,107,243100,SUNDAY,H,
Main Street ATM,2013-02-24,14,26700,SUNDAY,H,
Genesee Street ATM,2013-02-24,98,358200,SUNDAY,H,
Hollywood Aveneue ATM,2013-02-24,76,215100,SUNDAY,H,
Kingsley Street ATM,2013-02-24,78,160400,SUNDAY,H,
Georgia Street ATM,2013-02-25,91,391600,MONDAY,W,
Main Street ATM,2013-02-25,162,628400,MONDAY,W,
Genesee Street ATM,2013-02-25,122,572500,MONDAY,W,
Hollywood Aveneue ATM,2013-02-25,315,1641500,MONDAY,W,
Kingsley Street ATM,2013-02-25,121,532500,MONDAY,W,
Georgia Street ATM,2013-02-26,82,304200,TUESDAY,W,
Main Street ATM,2013-02-26,174,670300,TUESDAY,W,
Genesee Street ATM,2013-02-26,57,295000,TUESDAY,W,
Hollywood Aveneue ATM,2013-02-26,212,923100,TUESDAY,W,
Kingsley Street ATM,2013-02-26,127,514400,TUESDAY,W,
Georgia Street ATM,2013-02-27,96,338000,WEDNESDAY,W,
Main Street ATM,2013-02-27,133,528000,WEDNESDAY,W,
Genesee Street ATM,2013-02-27,101,480100,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-02-27,188,703800,WEDNESDAY,W,
Kingsley Street ATM,2013-02-27,114,513900,WEDNESDAY,W,
Georgia Street ATM,2013-02-28,111,457200,THURSDAY,W,
Main Street ATM,2013-02-28,172,606800,THURSDAY,W,
Genesee Street ATM,2013-02-28,150,833600,THURSDAY,W,
Hollywood Aveneue ATM,2013-02-28,294,1370900,THURSDAY,W,
Kingsley Street ATM,2013-02-28,102,492000,THURSDAY,W,
Georgia Street ATM,2013-03-01,74,245300,FRIDAY,W,
Main Street ATM,2013-03-01,193,831400,FRIDAY,W,
Genesee Street ATM,2013-03-01,109,471000,FRIDAY,W,
Hollywood Aveneue ATM,2013-03-01,269,1191800,FRIDAY,W,
Kingsley Street ATM,2013-03-01,122,579900,FRIDAY,W,
Georgia Street ATM,2013-03-02,46,122300,SATURDAY,H,
Main Street ATM,2013-03-02,229,830800,SATURDAY,H,
Genesee Street ATM,2013-03-02,141,803600,SATURDAY,H,
Hollywood Aveneue ATM,2013-03-02,311,1385600,SATURDAY,H,
Kingsley Street ATM,2013-03-02,195,1229400,SATURDAY,H,
Georgia Street ATM,2013-03-03,74,201000,SUNDAY,H,
Main Street ATM,2013-03-03,171,413300,SUNDAY,H,
Genesee Street ATM,2013-03-03,120,525000,SUNDAY,H,
Hollywood Aveneue ATM,2013-03-03,131,517200,SUNDAY,H,
Kingsley Street ATM,2013-03-03,119,476100,SUNDAY,H,
Georgia Street ATM,2013-03-04,82,319700,MONDAY,W,
Main Street ATM,2013-03-04,225,988400,MONDAY,W,
Genesee Street ATM,2013-03-04,118,608400,MONDAY,W,
Hollywood Aveneue ATM,2013-03-04,355,1867700,MONDAY,W,
Kingsley Street ATM,2013-03-04,127,620200,MONDAY,W,
Georgia Street ATM,2013-03-05,88,253100,TUESDAY,W,
Main Street ATM,2013-03-05,174,693300,TUESDAY,W,
Genesee Street ATM,2013-03-05,117,470100,TUESDAY,W,
Hollywood Aveneue ATM,2013-03-05,293,1743600,TUESDAY,W,
Kingsley Street ATM,2013-03-05,149,717000,TUESDAY,W,
Georgia Street ATM,2013-03-06,96,286800,WEDNESDAY,W,
Main Street ATM,2013-03-06,190,734300,WEDNESDAY,W,
Genesee Street ATM,2013-03-06,135,705600,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-03-06,264,1141000,WEDNESDAY,W,
Kingsley Street ATM,2013-03-06,156,631300,WEDNESDAY,W,
Georgia Street ATM,2013-03-07,104,308500,THURSDAY,W,
Main Street ATM,2013-03-07,164,436900,THURSDAY,W,
Genesee Street ATM,2013-03-07,131,568700,THURSDAY,W,
Hollywood Aveneue ATM,2013-03-07,240,1061700,THURSDAY,W,
Kingsley Street ATM,2013-03-07,149,701400,THURSDAY,W,
Georgia Street ATM,2013-03-08,87,275000,FRIDAY,W,
Main Street ATM,2013-03-08,208,641000,FRIDAY,W,
Genesee Street ATM,2013-03-08,130,629500,FRIDAY,W,
Hollywood Aveneue ATM,2013-03-08,242,1110000,FRIDAY,W,
Kingsley Street ATM,2013-03-08,128,746700,FRIDAY,W,
Georgia Street ATM,2013-03-09,104,379300,SATURDAY,H,
Main Street ATM,2013-03-09,115,528600,SATURDAY,H,
Genesee Street ATM,2013-03-09,173,943900,SATURDAY,H,
Hollywood Aveneue ATM,2013-03-09,245,1073200,SATURDAY,H,
Kingsley Street ATM,2013-03-09,102,659100,SATURDAY,H,
Georgia Street ATM,2013-03-10,113,304000,SUNDAY,H,
Genesee Street ATM,2013-03-10,110,524800,SUNDAY,H,
Hollywood Aveneue ATM,2013-03-10,154,547300,SUNDAY,H,
Kingsley Street ATM,2013-03-10,69,275400,SUNDAY,H,
Georgia Street ATM,2013-03-11,80,263700,MONDAY,W,
Main Street ATM,2013-03-11,154,602300,MONDAY,W,
Genesee Street ATM,2013-03-11,100,434200,MONDAY,W,
Hollywood Aveneue ATM,2013-03-11,267,1376800,MONDAY,W,
Kingsley Street ATM,2013-03-11,134,694400,MONDAY,W,
Georgia Street ATM,2013-03-12,94,426200,TUESDAY,W,
Main Street ATM,2013-03-12,163,625300,TUESDAY,W,
Genesee Street ATM,2013-03-12,130,671100,TUESDAY,W,
Hollywood Aveneue ATM,2013-03-12,218,1101700,TUESDAY,W,
Kingsley Street ATM,2013-03-12,113,455700,TUESDAY,W,
Georgia Street ATM,2013-03-13,76,286400,WEDNESDAY,W,
Main Street ATM,2013-03-13,124,395500,WEDNESDAY,W,
Genesee Street ATM,2013-03-13,122,767800,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-03-13,236,1175100,WEDNESDAY,W,
Kingsley Street ATM,2013-03-13,86,398200,WEDNESDAY,W,
Georgia Street ATM,2013-03-14,99,337800,THURSDAY,W,
Main Street ATM,2013-03-14,126,378800,THURSDAY,W,
Genesee Street ATM,2013-03-14,115,593200,THURSDAY,W,
Hollywood Aveneue ATM,2013-03-14,214,971600,THURSDAY,W,
Kingsley Street ATM,2013-03-14,95,463400,THURSDAY,W,
Georgia Street ATM,2013-03-15,97,453000,FRIDAY,W,
Main Street ATM,2013-03-15,170,492300,FRIDAY,W,
Genesee Street ATM,2013-03-15,107,447600,FRIDAY,W,
Hollywood Aveneue ATM,2013-03-15,243,1068100,FRIDAY,W,
Kingsley Street ATM,2013-03-15,81,359700,FRIDAY,W,
Georgia Street ATM,2013-03-16,111,331100,SATURDAY,H,
Main Street ATM,2013-03-16,224,645700,SATURDAY,H,
Genesee Street ATM,2013-03-16,115,555700,SATURDAY,H,
Hollywood Aveneue ATM,2013-03-16,286,1171900,SATURDAY,H,
Kingsley Street ATM,2013-03-16,107,530600,SATURDAY,H,
Georgia Street ATM,2013-03-17,103,305200,SUNDAY,H,
Main Street ATM,2013-03-17,144,289400,SUNDAY,H,
Genesee Street ATM,2013-03-17,98,499200,SUNDAY,H,
Hollywood Aveneue ATM,2013-03-17,143,439700,SUNDAY,H,
Kingsley Street ATM,2013-03-17,87,293100,SUNDAY,H,
Georgia Street ATM,2013-03-18,84,313500,MONDAY,W,
Main Street ATM,2013-03-18,103,228800,MONDAY,W,
Genesee Street ATM,2013-03-18,104,589700,MONDAY,W,
Hollywood Aveneue ATM,2013-03-18,237,1015600,MONDAY,W,
Kingsley Street ATM,2013-03-18,114,356900,MONDAY,W,
Georgia Street ATM,2013-03-19,86,207400,TUESDAY,W,
Main Street ATM,2013-03-19,198,549000,TUESDAY,W,
Genesee Street ATM,2013-03-19,99,516700,TUESDAY,W,
Hollywood Aveneue ATM,2013-03-19,237,1190400,TUESDAY,W,
Kingsley Street ATM,2013-03-19,110,494600,TUESDAY,W,
Georgia Street ATM,2013-03-20,119,444200,WEDNESDAY,W,
Main Street ATM,2013-03-20,157,465400,WEDNESDAY,W,
Genesee Street ATM,2013-03-20,145,639700,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-03-20,353,1298000,WEDNESDAY,W,
Kingsley Street ATM,2013-03-20,122,444900,WEDNESDAY,W,
Georgia Street ATM,2013-03-21,115,272700,THURSDAY,W,
Main Street ATM,2013-03-21,182,532300,THURSDAY,W,
Genesee Street ATM,2013-03-21,73,392800,THURSDAY,W,
Hollywood Aveneue ATM,2013-03-21,238,1027900,THURSDAY,W,
Kingsley Street ATM,2013-03-21,117,609700,THURSDAY,W,
Georgia Street ATM,2013-03-22,89,257000,FRIDAY,W,
Main Street ATM,2013-03-22,171,415700,FRIDAY,W,
Genesee Street ATM,2013-03-22,93,347200,FRIDAY,W,
Hollywood Aveneue ATM,2013-03-22,196,978600,FRIDAY,W,
Kingsley Street ATM,2013-03-22,127,580100,FRIDAY,W,
Georgia Street ATM,2013-03-23,98,219300,SATURDAY,H,
Main Street ATM,2013-03-23,152,566200,SATURDAY,H,
Genesee Street ATM,2013-03-23,118,501800,SATURDAY,H,
Hollywood Aveneue ATM,2013-03-23,321,1274800,SATURDAY,H,
Kingsley Street ATM,2013-03-23,101,391100,SATURDAY,H,
Georgia Street ATM,2013-03-24,96,269600,SUNDAY,H,
Main Street ATM,2013-03-24,127,240900,SUNDAY,H,
Genesee Street ATM,2013-03-24,72,197800,SUNDAY,H,
Hollywood Aveneue ATM,2013-03-24,121,352500,SUNDAY,H,
Kingsley Street ATM,2013-03-24,79,294400,SUNDAY,H,
Georgia Street ATM,2013-03-25,85,295700,MONDAY,W,
Main Street ATM,2013-03-25,135,393400,MONDAY,W,
Genesee Street ATM,2013-03-25,96,475300,MONDAY,W,
Hollywood Aveneue ATM,2013-03-25,229,954500,MONDAY,W,
Kingsley Street ATM,2013-03-25,118,487600,MONDAY,W,
Georgia Street ATM,2013-03-26,102,254200,TUESDAY,W,
Main Street ATM,2013-03-26,138,444100,TUESDAY,W,
Genesee Street ATM,2013-03-26,53,249900,TUESDAY,W,
Hollywood Aveneue ATM,2013-03-26,276,1281500,TUESDAY,W,
Kingsley Street ATM,2013-03-26,96,391200,TUESDAY,W,
Georgia Street ATM,2013-03-27,47,91200,WEDNESDAY,W,
Main Street ATM,2013-03-27,162,477200,WEDNESDAY,W,
Genesee Street ATM,2013-03-27,79,319400,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-03-27,205,914300,WEDNESDAY,W,
Kingsley Street ATM,2013-03-27,118,562500,WEDNESDAY,W,
Georgia Street ATM,2013-03-28,97,360000,THURSDAY,W,
Main Street ATM,2013-03-28,48,122300,THURSDAY,W,
Genesee Street ATM,2013-03-28,107,672400,THURSDAY,W,
Hollywood Aveneue ATM,2013-03-28,255,1219300,THURSDAY,W,
Kingsley Street ATM,2013-03-28,170,778100,THURSDAY,W,
Georgia Street ATM,2013-03-29,105,361100,FRIDAY,H,
Main Street ATM,2013-03-29,119,384200,FRIDAY,H,
Genesee Street ATM,2013-03-29,94,519400,FRIDAY,H,
Hollywood Aveneue ATM,2013-03-29,202,901300,FRIDAY,H,
Kingsley Street ATM,2013-03-29,82,352800,FRIDAY,H,
Georgia Street ATM,2013-03-30,111,388500,SATURDAY,H,
Main Street ATM,2013-03-30,191,604500,SATURDAY,H,
Genesee Street ATM,2013-03-30,114,444000,SATURDAY,H,
Hollywood Aveneue ATM,2013-03-30,264,1339300,SATURDAY,H,
Kingsley Street ATM,2013-03-30,147,722900,SATURDAY,H,
Georgia Street ATM,2013-03-31,113,379800,SUNDAY,H,
Main Street ATM,2013-03-31,141,337800,SUNDAY,H,
Genesee Street ATM,2013-03-31,102,456000,SUNDAY,H,
Hollywood Aveneue ATM,2013-03-31,126,338600,SUNDAY,H,
Kingsley Street ATM,2013-03-31,98,343800,SUNDAY,H,
Georgia Street ATM,2013-04-01,102,377700,MONDAY,W,
Main Street ATM,2013-04-01,134,509600,MONDAY,W,
Genesee Street ATM,2013-04-01,63,269200,MONDAY,W,
Hollywood Aveneue ATM,2013-04-01,287,1191400,MONDAY,W,
Kingsley Street ATM,2013-04-01,144,713100,MONDAY,W,
Georgia Street ATM,2013-04-02,103,404600,TUESDAY,W,
Main Street ATM,2013-04-02,179,631400,TUESDAY,W,
Genesee Street ATM,2013-04-02,139,755300,TUESDAY,W,
Hollywood Aveneue ATM,2013-04-02,312,1473400,TUESDAY,W,
Kingsley Street ATM,2013-04-02,147,518600,TUESDAY,W,
Georgia Street ATM,2013-04-03,98,297700,WEDNESDAY,W,
Main Street ATM,2013-04-03,152,464100,WEDNESDAY,W,
Genesee Street ATM,2013-04-03,117,577300,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-04-03,307,1595000,WEDNESDAY,W,
